序号,名称,学校类别,电话,地址,高校
108,北京军地专修学院,51民办的其他高等教育机构,64789362,北京市朝阳区望京西园221号博泰大厦11层,高校
110,中国农民大学,51民办的其他高等教育机构,62118860,北京市海淀区中关村南大街12号,高校
113,北京摄影函授学院,51民办的其他高等教育机构,65136128,北京市东城区东单红星胡同61号,高校
114,中日友好临床医学研究所,10培养研究生的科研机构,64203096,北京市朝阳区和平街樱花路2号,高校
115,北京京海研修学院,51民办的其他高等教育机构,82137887,北京市海淀区知春东里12号,高校
116,北京市海淀区职工大学,41成人高等学校：职工高校,62347026,北京市海淀区北四环中路271号,高校
117,北京现代音乐研修学院,51民办的其他高等教育机构,81571111,北京市通州区云景南大街68号,高校
118,北京中新企业管理学院,51民办的其他高等教育机构,88912960,北京市石景山区杨庄路西口,高校
123,北京市建设职工大学,41成人高等学校：职工高校,85982068,北京市朝阳区水碓子东路15号,高校
127,北京市东城区职工大学,41成人高等学校：职工高校,67148675,北京市东城区板厂南里5号,高校
128,北京市总工会职工大学,41成人高等学校：职工高校,83517504,北京市西城区陶然亭路53号,高校
130,民航管理干部学院,43成人高等学校：管理干部学院,64720632,北京市朝阳区花家地东路3号,高校
133,北京工商管理专修学院,51民办的其他高等教育机构,89793124,北京市昌平区南口镇南大街21号,高校
134,卫生部北京老年医学研究所,10培养研究生的科研机构,58115033,北京市东城区东单大华路1号,高校
135,北京戏曲艺术职业学院,14普通高等学校：专科院校：高等职业学校,67571886,北京市丰台区马家堡东里8号,高校
136,国家法官学院,41成人高等学校：职工高校,67559017,北京市通州区天成桥甲1号,高校
139,东方文化艺术学院,51民办的其他高等教育机构,65065842,北京市朝阳区甜水园1号,高校
141,北京东方妇女老年大学,51民办的其他高等教育机构,85162610,北京市西城区刘海胡同11号,高校
142,中国戏曲学院,12普通高等学校：本科院校：学院,63353774,北京市丰台区万泉寺400号,高校
143,北京体育职业学院,14普通高等学校：专科院校：高等职业学校,87280847,北京市丰台区光彩北路4号,高校
144,北京化工大学,11普通高等学校：本科院校：大学,64434820,北京市朝阳区北三环东路15号,高校
145,北京中医药大学,11普通高等学校：本科院校：大学,64286426,北京市朝阳区北三环东路11号,高校
146,北京电子科技职业学院,14普通高等学校：专科院校：高等职业学校,84612856,北京市朝阳区太阳宫芍药居甲1号,高校
147,中华女子学院,12普通高等学校：本科院校：学院,84659300,北京市朝阳区育惠东路1号,高校
